bangla_speech,combined,ipa_output
তুমি কারো জীবনে সুখ এনে দেবে এই ভেবে তোমার প্রেম করা উচিত,Sylhet  তুমি কারো জীবনে সুখ এনে দিবা এই ভেবে তোমার প্রেম করা উচিৎ,ʃɔlhe  t̪umɪ kɐɾo ɟɪbone ʃukʰ ene d̪ɪbɐ e͡ɪ̯ bʱebe t̪omɐɾ pɾem kɔɾɐ ucɪt̪
আপনার  মনের কথা গুলো আমাকে আজ খুলে বলুন,Sylhet  আফনার মনের মাত গুলা আমকে আজ খুলিয়া বলুন ,ʃɔlhe  ɐpʰnɐɾ moneɾ mɐt̪ gulɐ ɐmke ɐɟ kʰulɪʲɐ bolun 
তুমি  কখনই পারবে না অন্য কারও ভালোবাসাকে ছিনিয়ে নিতে,Sylhet  তুমি কখনোই ফারবা না অন্য কারও ভালুবাসাকে ছিনিয়া নিতে,ʃɔlhe  t̪umɪ kɔkʰono͡ɪ̯ pʰɐɾbɐ nɐ ɔnno kɐɾo bʱɐlubɐʃɐke cʰɪnɪʲɐ nɪt̪e
তুমি  জোর করে অন্যের ভালো লাগার মানুষ হতে পারবে না,Sylhet  তুমি জোর করে অন্যের ভালো লাগার হিতে ফারবা না,ʃɔlhe  t̪umɪ ɟoɾ koɾe ɔnneɾ bʱɐlo lɐgɐɾ hɪt̪e pʰɐɾbɐ nɐ
আগামিকাল সকালবেলা  তাদেরকে দেখতে পাবেন,Sylhet  আগামীকাল সকালবেলা তাদেরকে দেখতে ফারবা,ʃɔlhe  ɐgɐmɪkɐl ʃɔkɐlbelɐ t̪ɐd̪eɾke d̪ext̪e pʰɐɾbɐ
তোমার কোন কথাতেই কোনও নিশ্চয়তা নেই,Sylhet  তোমার কোনো মাতই কোনোও হদিস নাই,ʃɔlhe  t̪omɐɾ kono mɐt̪ɪ kono͡o̯ hod̪ɪʃ nɐ͡ɪ̯
আমার অনেক ভালো লাগে কালো  ওই চোখ দুটো তোমার,Sylhet  আমার অনেক ভালা লাগে কালা ওই চোউখ দুইটা তোমার,ʃɔlhe  ɐmɐɾ ɔnek bʱɐlɐ lɐge kɐlɐ o͡ɪ̯ co͡u̯kʰ d̪u͡ɪ̯tɐ t̪omɐɾ
তোমাকে একটি গোলাপ ফুল কিনে দিবো,Sylhet  তোমাকে একটা গোলাপ ফুল কিনিয়া দিমু,ʃɔlho  t̪omɐke ɛktɐ golɐp pʰul kɪnɪʲɐ d̪ɪmu
আমার এই মন তোমাকে দিলাম,Sylhet  আমার এই বিতর তোমারে দিলাইলাম,ʃɔlhe  ɐmɐɾ e͡ɪ̯ bɪt̪oɾ t̪omɐɾe d̪ɪlɐ͡ɪ̯lɐm
তোমার হাজার কথার মাঝে তোমার  মনের কথা লুকিয়ে ছিল,Sylhet  তোমার হাজার মাতর মাঝে তোমার মনের মাত লুকাইয়া ছিল,ʃɔlhe  t̪omɐɾ hɐɟɐɾ mɐt̪oɾ mɐɟʱe t̪omɐɾ moneɾ mɐt̪ lukɐ͡ɪ̯ʲɐ cʰɪlo
একটা মানুষের সব কথা একদিনে মুখে বলে দেওয়া যায়না,Sylhet  একটা মানুষের সব মাত একদিনে মুখে বলে দেওয়া যায় না,ʃɔlhe  ɛktɐ mɐnuʃeɾ ʃɔb mɐt̪ ɛkd̪ɪne mukʰe bole d̪e͡o̯ʷɐ ɟɐe̯ nɐ
আমার হাজার কথার মাঝে ওই একটা কথা তোমাকে বুঝে নিতে হবে,Sylhet  আমার হাজার মাতর মাঝে ওই একটা মাত তোমারে বুজে নিতে অইবো,ʃɔlhe  ɐmɐɾ hɐɟɐɾ mɐt̪oɾ mɐɟʱe o͡ɪ̯ ɛktɐ mɐt̪ t̪omɐɾe buɟe nɪt̪e ɔ͡ɪ̯bo
আমি যতদিন বেঁছে থাকি আপনাকে মনে রাখবো,Sylhet  মুই যতদিন বাছিয়া থাকি আফনারে বিতর রাখমু,ʃɔlhe  mu͡ɪ̯ ɟɔt̪od̪ɪn bɐcʰɪʲɐ t̪ʰɐkɪ ɐpʰnɐɾe bɪt̪oɾ ɾɐkʰmu
আমার যত কষ্ট হোক তোমাকে নিয়ে আমি জীবন সাজাবোই,Sylhet  আমার যত কষ্ঠ হোক তোমারে নিয়া আমি জীবন সাজাইমু,ʃɔlhe  ɐmɐɾ ɟɔt̪o koʃtʰo hok t̪omɐɾe nɪʲɐ ɐmɪ ɟɪbɔn ʃɐɟɐ͡ɪ̯mu
তোমার পড়াশোনা করে  কি হবে যদি তুমি যাকে ভালোবাসো তাকেই  না পাও,Sylhet  তোমার ফড়াশোনা করিয়া কিতা অইবো যদি তুমি যারে ভালোফাও তারেই না ফাও,ʃɔlhe  t̪omɐɾ pʰɔɽɐʃonɐ koɾɪʲɐ kɪt̪ɐ ɔ͡ɪ̯bo ɟod̪ɪ t̪umɪ ɟɐɾe bʱɐlopʰɐ͡o̯ t̪ɐɾe͡ɪ̯ nɐ
চাঁদের মিষ্টি আলো দেখতে আমার খুব ভালো লাগে,Sylhet  চাঁদের মিষ্টি ফর্সা দেখতে আমার খুব ভালা লাগে, ʃɔlhe  cɐ̃d̪eɾ mɪʃtɪ pʰɔɾsɐ d̪ekʰt̪e ɐmɐɾ kʰub bʱɐlɐ lɐge
আমাদের ঘরের প্রতিটি রুম ফুল দিয়ে সাজিয়ে রেখেছি,Sylhet  আমাদের ঘরের প্রতিটা রুম ফুল দিয়া সাজিয়া রাখছি,ʃɔlhe  ɐmɐd̪eɾ gʱɔɾeɾ pɾot̪ɪtɐ ɾum pʰul d̪ɪʲɐ ʃɐɟɪʲɐ ɾɐkʰcʰɪ
মাছের বাজারে  সবাই এসে বড় মাছটি দেখার জন্য ভিড় জমালো,Sylhet  মাছের বাজারে হকল আইয়া বড় মাছটক দেইখ্খার লাগি ভিড় জমাইলো,ʃɔlhe  mɐcʰeɾ bɐɟɐɾe hokol ɐ͡ɪ̯ʲɐ bɔɽo mɐcʰtok d̪e͡ɪ̯kʰkʰɐɾ lɐgɪ bʱɪɽ ɟɔmɐ͡ɪ̯lo
আমার বিয়ে করার জন্য আরেকটা দিন এগিয়েছে,Sylhet  আমার বিয়া করার লাগি আরেকদিন আগাইছে,ʃɔlhe  ɐmɐɾ bɪʲɐ kɔɾɐɾ lɐgɪ ɐɾekd̪ɪn ɐgɐ͡ɪ̯cʰe
দুজনে মিলে দুরে কোথাও ঘুরে আসতে পারি,Sylhet  দুজনে মিলিয়া দুরে কোনকানো ফাকাইয়া আইতে ফারি,ʃɔlhe  d̪uɟɔne mɪlɪʲɐ d̪uɾe konkɐno pʰɐkɐ͡ɪ̯ʲɐ ɐ͡ɪ̯t̪e pʰɐɾɪ
আকাশের নীলে হারিয়ে যেতে  চাই তোমায় নিয়ে,Sylhet  আকাশর নীলে কোয়াইয়া যাইতে চাই তোমায় নিয়া,ʃɔlhe  ɐkɐʃoɾ nɪle koʷɐ͡ɪ̯ʲɐ ɟɐ͡ɪ̯t̪e cɐ͡ɪ̯ t̪omɐe̯ nɪʲɐ
আপনার জন্য মনে আমার অফুরন্ত ভালবাসা,Sylhet  আফনার লাগি বিতরে আমার অফুরন্ত ভালোবাসা ,ʃɔlho  ɐpʰnɐɾ lɐgɪ bɪt̪ɔɾe ɐmɐɾ ɔpʰuɾont̪o bʱɐlobɐʃɐ 
আমি সারা জীবন আপনার ভালবাসা পেতে চাই,Sylhet  মুই সারা জীবন আফনার ভালোবাসা ফাইতে চাই,ʃɔlhe  mu͡ɪ̯ ʃɐɾɐ ɟɪbɔn ɐpʰnɐɾ bʱɐlobɐʃɐ pʰɐ͡ɪ̯t̪e cɐ͡ɪ̯
আমি এবং আমার ছোট বোন একসাথে সাঁতার কাটি,Sylhet  মুই এবং আমার ছোট বোন একসাথে হাতার কাটি,ʃɔlhe  mu͡ɪ̯ eboŋ ɐmɐɾ cʰoto bon ɛkʃɐt̪ʰe hɐt̪ɐɾ kɐtɪ
তোমাকে নিয়ে সুখের পৃথিবী সাজাতে চাই,Sylhet  তোমারে নিয়া সুখের পৃথিবী সাজাতে চাই,ʃɔlhe  t̪omɐɾe nɪʲɐ ʃukʰeɾ pɾɪt̪ʰɪbɪ ʃɐɟɐt̪e cɐ͡ɪ̯
আজ সিলেটে বৃষ্টি হবে,Sylhet  আইজ সিলেট বৃষ্টি অইবো, ʃɔlho  ɐ͡ɪ̯ɟ sɪlet bɾɪʃtɪ ɔ͡ɪ̯bo
তোমার মিথ্যা ভালবাসা একদিন হেরে যাবে,Sylhet  তোমার মিথ্যা ভালোবাসা একদিন হারিয়া যাইবো ,ʃɔlhe  t̪omɐɾ mɪt̪t̪ʰɐ bʱɐlobɐʃɐ ɛkd̪ɪn hɐɾɪʲɐ ɟɐ͡ɪ̯bo 
আমার সত্যের ভালবাসা কোনদিনও হারবে না,Sylhet  আমার হাচা ভালো ফাওয়া কোনোদিনও কোয়াইবে না,ʃɔlhe  ɐmɐɾ hɐcɐ bʱɐlo pʰɐ͡o̯ʷɐ konod̪ɪno koʷɐ͡ɪ̯be nɐ
এই গানটি আমার খুব ভালো লাগে,Sylhet  এই গানটি আমার খুব ভালা লাগে,ʃɔlhe  e͡ɪ̯ gɐntɪ ɐmɐɾ kʰub bʱɐlɐ lɐge
তোমাকে অসম্ভব সুন্দরী লাগে,Sylhet  তোমারে অসম্ভব সুন্দরী লগের,ʃɔlhe  t̪omɐɾe ɔʃɔmbʱɔb ʃund̪oɾɪ lɔgeɾ
আপনার কি এখনও আপনার  ভালোবাসার মানুষটার কথা মনে পড়ে,Sylhet  আফনার কিতা এখনও আফনার ভালোফাওয়ার মানুষটার মাত মনে পড়ে,ʃɔlhe  ɐpʰnɐɾ kɪt̪ɐ ɛkʰono ɐpʰnɐɾ bʱɐlopʰɐ͡o̯ʷɐɾ mɐnuʃtɐɾ mɐt̪ mone pɔɽe
তোমার সাথে দেখা হলেই পুরাতন ইতিহাস মনে পড়ে যায়,Sylhet  তোমার লগে দেখা হলেই আগর  ইতিহাস মনে পড়ে যায়,ʃɔlhe  t̪omɐɾ lɔge d̪ɛkʰɐ hole͡ɪ̯ ɐgoɾ  ɪt̪ɪhɐʃ mone pɔɽe ɟɐe̯
এই ছবির নীল আকাশ অনেক সুন্দর,Sylhet  এই ছবির নীল আকাশ অনেক সুন্দর ,ʃɔlhe  e͡ɪ̯ cʰobɪɾ nɪl ɐkɐʃ ɔnek ʃund̪ɔɾ 
তুমি  এক সন্ধ্যায় অফিস থেকে বাসায় ফিরে দেখবে আমি আর নেই,Sylhet  তুমি এক হাইনজা অফিসে থাকি বাসায় ফিরে দেখবা মুই আর নাই,ʃɔlhe  t̪umɪ ɛk hɐ͡ɪ̯nɟɐ ɔpʰɪse t̪ʰɐkɪ bɐʃɐe̯ pʰɪɾe d̪ekʰbɐ mu͡ɪ̯ ɐɾ nɐ͡ɪ̯
তোমার কন্যা তোমাকে অনেক ভালবাসে,Sylhet  তোমার কইন্না তোমারে অনেক ভালাফায়,ʃɔlhe  t̪omɐɾ ko͡ɪ̯nnɐ t̪omɐɾe ɔnek bʱɐlɐpʰɐe̯
আমার মাঝে মাঝে চিৎকার করে কাঁদতে ইচ্ছে করে,Sylhet  আমার মাঝে মাঝে চিৎকার করিয়া কান্দিতে জানে কয়,ʃɔlhe  ɐmɐɾ mɐɟʱe mɐɟʱe cɪt̪kɐɾ koɾɪʲɐ kɐnd̪ɪt̪e ɟɐne kɔe̯
তুমি চলে যাওয়ার পর আমার জীবন থেমে গেছে,Sylhet  তুমি চলে যাওয়ার পর আমার জীবন থামিয়া গেজে,ʃɔlhe  t̪umɪ cɔle ɟɐ͡o̯ʷɐɾ pɔɾ ɐmɐɾ ɟɪbɔn t̪ʰɐmɪʲɐ geɟe
আমার ছোট বোন কেমন যেন শান্ত হয়ে গেছে,Sylhet  আমার ছোট বোইন কেমনে যানি নিরাই অই গেজে,ʃɔlhe  ɐmɐɾ cʰoto boʲɔn kɛmone ɟɐnɪ nɪɾɐ͡ɪ̯ ɔ͡ɪ̯ geɟe
বাবা মার আদর ভালোবাসা ছাড়া আমি বড় হয়েছি,Sylhet  বাপ মার মায়া ভালোবাসা ছাড়া মুই বড় অইগেজি,ʃɔlhe  bɐp mɐɾ mɐʲɐ bʱɐlobɐʃɐ cʰɐɽɐ mu͡ɪ̯ bɔɽo ɔ͡ɪ̯geɟɪ
তুমি সত্যিই খুব কঠিন সময় পার করছ,Sylhet  তুমি হাচাও খুব কঠিন সময় ফার করছো,ʃɔlhe  t̪umɪ hɐcɐ͡o̯ kʰub kotʰɪn ʃɔmɔe̯ pʰɐɾ koɾcʰo
বাবা হয়ে মায়ের দায়িত্ব পালন করা করা খুব কঠিন,Sylhet  বাফ অইয়া মাই এর দায়িত্ব পালন করা খুব কঠিন ,ʃɔlhe  bɐpʰ ɔ͡ɪ̯ʲɐ mɐ͡ɪ̯ eɾ d̪ɐʲɪt̪t̪o pɐlon kɔɾɐ kʰub kotʰɪn 
একটি শিশুকে একমাত্র তার মায়ের কোলেই মানায়,Sylhet  একটা শিশুকে একমাত্র তার মাইয়ের কোলেই মানায় ,ʃɔlhe  ɛktɐ ʃɪʃuke ɛkmɐt̪ɾo t̪ɐɾ mɐ͡ɪ̯ʲeɾ kole͡ɪ̯ mɐnɐe̯ 
আমার কোলে এসে শিশুটি তার মাকে খোঁজে মনে হয়,Sylhet  আমার কোলে আইয়া শিশুটারে তার মাই রে খোজে মনে হয়,ʃɔlhe  ɐmɐɾ kole ɐ͡ɪ̯ʲɐ ʃɪʃutɐɾe t̪ɐɾ mɐ͡ɪ̯ ɾe kʰoɟe mone hɔe̯
আমি যে মা তাই আমি আমার বাচ্চার  মুখের দিকে তাকিয়ে অনেক কিছু বুঝতে পারি,Sylhet  আমি যে মাই তাইন মুই আমার বাচ্চার মুখের দিকে তাকিয়া অনেক কিছু বুঝতে পারইন,ʃɔlhe  ɐmɪ ɟe mɐ͡ɪ̯ t̪ɐ͡ɪ̯n mu͡ɪ̯ ɐmɐɾ bɐccɐɾ mukʰeɾ d̪ɪke t̪ɐkɪʲɐ ɔnek kɪcʰu buɟʱt̪e pɐ
এই কঠিন বাস্তবের সাথে তোমাকে মানিয়ে নিয়ে চলতে হবে,Sylhet  এই কঠিন বাস্তবের লগে তোমাকে মানিয়া নিয়া চলতে অইবো, ʃɔlhe  e͡ɪ̯ kotʰɪn bɐst̪obeɾ lɔge t̪omɐke mɐnɪʲɐ nɪʲɐ cɔlt̪e ɔ͡ɪ̯bo
মেয়েটি একটি  ভালো চাকরি করে,Sylhet  ফুড়িটা একটা ভালো চাকরি করে,ʃɔlhe  pʰuɽɪtɐ ɛktɐ bʱɐlo cɐkɾɪ koɾe
এই  মাসে ছেলে তার পরিবার  নিয়ে ঘুরতে যাওয়ার কথা,Sylhet  এই মাসো ফুয়া তার পরিবার নিয়া ফাকানিত যাওয়ার কথা,ʃɔlhe  e͡ɪ̯ mɐʃo pʰuʲɐ t̪ɐɾ poɾɪbɐɾ nɪʲɐ pʰɐkɐnɪt̪o ɟɐ͡o̯ʷɐɾ kɔt̪ʰɐ
আমার পরিবার আজকে বিকালে তোমার পরিবারের সাথে কথা বলবে,Sylhet  আমার পরিবার আইজকে বিকালে তোমার পরিবারের লগে মাতবে,ʃɔlhe  ɐmɐɾ poɾɪbɐɾ ɐ͡ɪ̯ɟke bɪkɐle t̪omɐɾ poɾɪbɐɾeɾ lɔge mɐt̪be
আমাদের দুজনের বিয়ে হওয়ার কথা চলছে,Sylhet  আমাদের দুজনের বিয়া অওয়ার মাত চলতেছে,sɔlhe  ɐmɐd̪eɾ d̪uɟɔneɾ bɪʲɐ ɔ͡o̯ʷɐɾ mɐt̪ cɔlt̪ecʰe
মেয়েটি  এই ছেলেকে  বিয়ে করতে রাজি হচ্ছে না,Sylhet  ফুড়িটা এই ফুয়ারে বিয়া করতে রাজি অর না,ʃɔlhe  pʰuɽɪtɐ e͡ɪ̯ pʰuʲɐɾe bɪʲɐ koɾt̪e ɾɐɟɪ ɔɾ nɐ
আমার স্বামী  আমাদেরকে নিয়ে রাতের বেলা ঘুরতে বের হবে,Sylhet  আমার স্বামী আমাদেরকে নিয়া রাইতর বেলা ফাকানিত বের অইবা,ʃɔlhe  ɐmɐɾ ʃɐmɪ ɐmɐd̪eɾke nɪʲɐ ɾɐ͡ɪ̯t̪ɔɾ belɐ pʰɐkɐnɪt̪o beɾ ɔ͡ɪ̯bɐ
আমার পছন্দ হয় এমন ছেলে  আমার বাবা মায়ের পছন্দ হয় না,Sylhet  আমার ফছন্দ হয় এমন ফুয়া আমার বাফ মাইয়ের ফছন্দ হয় না,ʃɔlhe  ɐmɐɾ pʰɔcʰond̪o hɔe̯ ɛmon pʰuʲɐ ɐmɐɾ bɐpʰ mɐ͡ɪ̯ʲeɾ pʰɔcʰond̪o hɔe̯ nɐ
তোমার মত মানুষেরা কখনো ঠিক হবে না,Sylhet  তোমার মত মানুষেরা কখনো ঠিক হবে না,ʃɔlhe  t̪omɐɾ mɔt̪ mɐnuʃeɾɐ kɔkʰono tʰɪk hɔbe nɐ
ছেলেটি তার পরিবারের পছন্দে বিয়ে করে ফেলে,Sylhet  ফুয়াটা তার ফরিবাবের পছন্দে বিয়া করি ফালাইছে,ʃɔlhe  pʰuʲɐtɐ t̪ɐɾ pʰoɾɪbɐbeɾ pɔcʰond̪e bɪʲɐ koɾɪ pʰɐlɐ͡ɪ̯cʰe
আমার ভাই  মেয়েটির সাথে গতকাল যোগাযোগ করে,Sylhet  আমার ভাই ফুড়িটার লগে গতকাল যোগাযোগ করে,ʃɔlhe  ɐmɐɾ bʱɐ͡ɪ̯ pʰuɽɪtɐɾ lɔge gɔt̪okɐl ɟogɐɟog koɾe
ছেলে কোন ধরনের মামলা চায় না,Sylhet  ফুয়া কোন ধরনের মামলা চায় না,ʃɔlhe  pʰuʲɐ kon d̪ʱɔɾoneɾ mɐmlɐ cɐe̯ nɐ
সে বিবাহিত তাই মামলা করতে চাচ্ছে না,Sylhet  হে বিয়াতি তাই মামলা করতে চার না,ʃɔlhe  he bɪʲɐt̪ɪ t̪ɐ͡ɪ̯ mɐmlɐ koɾt̪e cɐɾ nɐ
এই বিষয়টা জানাজানি হলে মহিলাটির সংসার টিকবে না,Sylhet  এই বিষয়টা জানাজানি অইলে বেডিনতর সংসার টিকতো না,ʃɔlhe  e͡ɪ̯ bɪʃɔʲtɐ ɟɐnɐɟɐnɪ ɛ͡ɪ̯le bedɪnt̪ɔɾ ʃɔŋʃɐɾ tɪkt̪o nɐ
